,Irradiation_W,Price,CONSUMPTION
1831,65.8,62.0,4229.670806198491
1832,207.65,63.0,5906.522545933987
1833,197.37,64.55,4930.444667580489
1834,406.37,62.0,4492.461004216741
1835,766.54,58.5,3528.8969448164926
1836,840.92,61.0,3140.968557265743
1837,585.34,54.0,4692.6821074687405
1838,425.45,51.3,6394.561485110737
1839,179.49,52.0,4792.79265909474
1840,47.7,56.5,4204.643168291991
1841,57.74,66.9,2928.2336350604937
1842,0.0,75.0,4630.113012702491
1843,0.0,74.3,6895.114243240736
1844,0.0,61.0,9272.73984435823
1845,0.0,52.4,14190.67069298547
1846,0.0,48.0,7245.501173931734
1847,0.0,52.0,5443.511244663739
1848,0.0,52.0,4054.477340852992
1849,0.0,55.0,3003.316548779994
1850,0.0,52.0,2965.7750919202435
1851,0.0,51.1,2640.415799135744
1852,0.0,51.1,2327.570325304495
1853,0.0,52.0,2602.8743422759944
1854,0.0,57.5,3028.344186686493
1855,145.66,59.2,3766.659504928242
1856,386.82,65.9,4730.223564328489
1857,516.6,71.0,4492.461004216741
1858,724.5,74.4,3516.383125863242
1859,766.76,67.0,3128.4547383124936
1860,669.53,67.0,2753.040169714994
1861,683.31,60.6,3503.8693069099927
1862,605.92,52.7,5593.677072102738
1863,484.72,57.0,3591.4660395827423
1864,302.29,62.5,3478.841669003493
1865,117.78,76.0,2978.288910873494
1866,0.0,107.5,3804.200961787992
1867,0.0,90.0,6419.5891230172365
1868,0.0,69.1,9260.226025404982
1869,0.0,62.9,7520.805190903235
1870,0.0,58.0,6945.169519053736
1871,0.0,59.0,5130.665770832489
1872,0.0,56.6,3804.200961787992
1873,0.0,54.0,2715.498712855244
1874,0.0,52.0,2577.8467043694945
1875,0.0,51.0,2577.8467043694945
1876,0.0,48.65,2527.7914285564943
1877,0.0,46.6,2515.2776096032444
1878,0.0,48.1,2915.719816107244
1879,160.8,48.5,3503.8693069099927
1880,32.8,54.9,5718.815261635238
1881,517.36,65.6,3516.383125863242
1882,262.54,62.0,3891.7976944607417
1883,765.94,60.0,3303.648203657993
1884,128.21,60.4,4292.239900964741
1885,426.33,53.0,5593.677072102738
1886,168.96,47.4,4029.449702946492
1887,212.44,49.0,4617.599193749241
1888,152.42,53.0,3478.841669003493
1889,25.84,66.0,3153.482376218993
1890,0.0,80.0,4454.919547356991
1891,0.0,75.67,6407.075304063987
1892,0.0,61.1,5380.942149897489
1893,0.0,51.55,8984.922008433481
1894,0.0,48.3,8033.871767986483
1895,0.0,48.0,4942.95848653374
1896,0.0,45.9,5130.665770832489
1897,0.0,45.0,3003.316548779994
1898,0.0,46.0,2903.205997153994
1899,0.0,45.45,2690.4710749487444
1900,0.0,44.0,2427.680876930495
1901,0.0,43.0,2765.553988668244
1902,0.0,48.0,2690.4710749487444
1903,15.9,49.5,3591.4660395827423
1904,43.73,51.4,4630.113012702491
1905,57.65,50.0,3603.9798585359927
1906,354.8,56.75,3804.200961787992
1907,603.51,54.0,2940.747454013744
1908,233.56,62.0,3428.7863931904926
1909,200.76,58.5,4367.322814684241
1910,298.88,56.0,4467.433366310241
1911,236.85,53.0,4016.9358839932415
1912,192.06,57.5,4254.698444104991
1913,61.52,72.3,3528.8969448164926
1914,0.0,90.9,5030.555219206489
1915,0.0,82.3,4955.472305486989
1916,0.0,62.2,6244.395657671736
1917,0.0,57.35,6269.423295578237
1918,0.0,51.0,5481.052701523488
1919,0.0,49.5,4104.532616665991
1920,0.0,49.5,3090.9132814527434
1921,0.0,49.5,3103.4271004059933
1922,0.0,47.5,2890.692178200744
1923,0.0,43.2,3253.592927844993
1924,0.0,42.3,2427.680876930495
1925,0.0,51.1,2665.443437042245
1926,7.9,57.0,2753.040169714994
1927,161.93,59.3,3341.1896605177426
1928,239.6,63.0,5255.8039603649895
1929,467.06,60.0,5305.859236177988
1930,497.63,56.0,4066.9911598062417
1931,815.56,52.8,2815.6092644812443
1932,691.77,53.0,2815.6092644812443
1933,795.75,51.0,4955.472305486989
1934,353.29,49.05,7721.026294155234
1935,279.28,50.6,4805.306478047989
1936,199.6,55.0,6319.478571391237
1937,73.25,68.4,3854.256237600992
1938,0.0,90.0,8246.606690191733
1939,0.0,77.8,9523.016223423228
1940,0.0,61.0,6907.628062193985
1941,0.0,53.2,6769.976053708236
1942,0.0,46.1,6407.075304063987
1943,0.0,52.5,4767.76502118824
1944,0.0,50.8,3591.4660395827423
1945,0.0,48.1,2978.288910873494
1946,0.0,44.8,2853.150721340994
1947,0.0,42.5,2352.597963210995
1948,0.0,44.1,2590.3605233227445
1949,0.0,53.3,2828.1230834344938
1950,2.96,60.1,2565.3328854162446
1951,97.57,64.4,2540.3052475097443
1952,259.73,62.4,3191.023833078744
1953,482.12,57.8,5380.942149897489
1954,720.65,52.2,6094.229830232737
1955,401.51,50.15,5706.301442681988
1956,733.06,49.3,6056.6883733729865
1957,651.63,47.05,5018.04140025324
1958,370.83,47.0,7232.987354978484
1959,517.99,48.9,3679.062772255492
1960,327.11,54.9,5255.8039603649895
1961,119.41,63.0,4429.891909450491
1962,0.0,76.0,3991.908246086742
1963,0.0,67.65,4004.422065039992
1964,0.0,54.1,7545.832828809734
1965,0.0,48.9,4016.9358839932415
1966,0.0,43.8,5481.052701523488
1967,0.0,50.8,3578.9522206294923
1968,0.0,48.0,3741.631867021742
1969,0.0,46.8,2853.150721340994
1970,0.0,44.8,2828.1230834344938
1971,0.0,43.5,2790.581626574744
1972,0.0,45.6,2490.2499716967445
1973,0.0,54.0,2690.4710749487444
1974,9.89,59.7,2965.7750919202435
1975,83.8,63.7,2590.3605233227445
1976,38.76,66.3,3666.5489533022414
1977,113.3,63.8,4542.51628002974
1978,106.34,55.0,5506.080339429988
1979,150.07,52.0,5305.859236177988
1980,189.83,51.4,5643.7323479157385
1981,483.31,48.1,6019.146916513238
1982,263.82,45.4,7746.053932061734
1983,202.81,48.9,5994.119278606737
1984,151.62,53.0,5018.04140025324
1985,97.15,60.4,4592.57155584274
1986,0.0,76.0,4504.974823169991
1987,0.0,74.2,7132.876803352486
1988,0.0,59.35,8897.32527576073
1989,0.0,53.85,8046.385586939734
1990,0.0,50.5,6795.003691614736
1991,0.0,53.0,4705.19592642199
1992,0.0,52.0,3616.493677489242
1993,0.0,51.0,3528.8969448164926
1994,0.0,50.0,2702.9848939019944
1995,0.0,44.1,2640.415799135744
1996,0.0,46.0,2840.636902387744
1997,0.0,52.9,2502.763790649995
1998,10.94,62.6,2803.095445527994
1999,84.78,66.0,3291.1343847047438
2000,104.36,67.3,4880.3893917674895
2001,167.97,62.0,5894.008726980737
2002,222.8,52.0,4179.615530385491
2003,242.5,50.9,3679.062772255492
2004,279.8,50.7,4592.57155584274
2005,306.74,45.7,5643.7323479157385
2006,387.11,43.4,6569.754950456237
2007,406.29,47.4,6169.312743952237
2008,286.24,51.6,3866.770056554242
2009,85.55,60.0,3766.659504928242
2010,0.0,75.0,5005.52758129999
2011,0.0,70.44,5556.135615242988
2012,0.0,54.0,7958.7888542669825
2013,0.0,50.0,8647.048896695731
2014,0.0,44.0,8434.313974490482
2015,0.0,40.2,4580.05773688949
2016,0.0,37.0,3904.311513413992
2017,0.0,35.3,4329.78135782449
2018,0.0,32.65,3253.592927844993
2019,0.0,32.55,2640.415799135744
2020,0.0,35.0,2702.9848939019944
2021,0.0,43.0,2652.929618088994
2022,28.64,51.0,2527.7914285564943
2023,239.42,57.0,2702.9848939019944
2024,467.27,62.0,3841.742418647742
2025,659.85,61.5,4454.919547356991
2026,813.62,55.3,4880.3893917674895
2027,904.86,54.4,3891.7976944607417
2028,940.23,52.2,4630.113012702491
2029,869.15,45.1,7808.623026827983
2030,726.48,42.0,13890.339038107471
2031,557.46,46.0,8071.413224846233
2032,340.17,53.0,5606.190891055988
2033,144.03,65.2,6932.655700100485
2034,0.0,80.0,7082.821527539485
2035,0.0,74.6,9648.15441295573
2036,0.0,62.1,7458.236096136984
2037,0.0,56.4,7408.180820323984
2038,0.0,46.0,4567.54391793624
2039,0.0,39.9,3954.366789226992
2040,0.0,34.0,3716.604229115242
2041,0.0,31.0,4129.560254572491
2042,0.0,28.0,4304.753719917992
2043,0.0,25.0,3929.339151320492
2044,0.0,24.0,3028.344186686493
2045,0.0,25.7,2728.0125318084943
2046,22.45,30.0,2740.526350761744
2047,228.98,32.5,2552.8190664629947
2048,450.02,46.0,2615.3881612292444
2049,653.96,47.0,4254.698444104991
2050,809.07,49.5,4279.726082011491
2051,894.01,44.4,4580.05773688949
2052,934.43,51.0,5856.467270120987
2053,868.28,47.6,5468.538882570239
2054,750.94,40.0,5068.09667606624
2055,577.03,50.0,4192.129349338741
2056,370.04,55.0,4079.504978759491
2057,152.38,66.4,4229.670806198491
2058,0.0,78.0,3716.604229115242
2059,0.0,75.0,4454.919547356991
2060,0.0,56.0,7258.014992884985
2061,0.0,60.0,6281.937114531486
2062,0.0,44.0,5418.483606757239
2063,0.0,31.9,3779.173323881492
2064,0.0,27.0,4054.477340852992
2065,0.0,20.0,2878.178359247494
2066,0.0,17.5,2702.9848939019944
2067,0.0,13.0,2527.7914285564943
2068,0.0,14.0,2728.0125318084943
2069,0.0,18.0,2828.1230834344938
2070,25.95,18.6,2465.2223337902446
2071,202.32,14.8,2577.8467043694945
2072,444.35,22.0,3729.118048068492
2073,322.8,27.0,4842.84793490774
2074,799.45,34.3,3516.383125863242
2075,893.15,39.2,6019.146916513238
2076,913.62,39.0,4179.615530385491
2077,872.37,34.0,6932.655700100485
2078,757.81,30.0,7258.014992884985
2079,576.44,45.0,3165.9961951722435
2080,373.26,60.0,3115.9409193592437
2081,145.31,70.0,3241.079108891743
2082,0.0,70.0,3253.592927844993
2083,0.0,58.0,3766.659504928242
2084,0.0,45.0,4605.08537479599
2085,0.0,31.5,4530.00246107649
2086,0.0,28.0,5180.721046645489
2087,0.0,20.9,3904.311513413992
2088,0.0,20.0,3341.1896605177426
2089,0.0,18.4,2728.0125318084943
2090,0.0,16.4,2690.4710749487444
2091,0.0,15.0,2577.8467043694945
2092,0.0,28.0,2615.3881612292444
2093,0.0,46.0,2702.9848939019944
2094,17.89,58.2,2903.205997153994
2095,249.01,65.75,3165.9961951722435
2096,462.45,60.0,3040.858005639744
2097,656.11,53.6,4805.306478047989
2098,799.83,47.8,5118.151951879238
2099,204.73,44.0,3716.604229115242
2100,780.87,35.15,4830.33411595449
2101,742.45,32.0,5481.052701523488
2102,454.29,31.0,7107.849165445985
2103,84.48,47.0,6532.213493596486
2104,64.6,52.9,4479.947185263491
2105,27.83,67.0,3516.383125863242
2106,0.0,76.9,3904.311513413992
2107,0.0,67.17,5255.8039603649895
2108,0.0,56.92,7721.026294155234
2109,0.0,47.0,8634.535077742483
2110,0.0,43.0,4467.433366310241
2111,0.0,37.4,6269.423295578237
2112,0.0,37.0,4167.101711432241
2113,0.0,40.0,3566.438401676243
2114,0.0,40.9,3403.7587552839927
2115,0.0,43.4,2740.526350761744
2116,0.0,51.8,3040.858005639744
2117,0.0,60.0,2828.1230834344938
2118,29.08,66.0,2390.139420070745
2119,134.28,67.0,2640.415799135744
2120,63.61,59.8,2815.6092644812443
2121,189.83,49.2,3278.620565751493
2122,308.11,48.0,4329.78135782449
2123,433.18,48.0,4079.504978759491
2124,724.26,42.0,3303.648203657993
2125,725.4,42.0,2890.692178200744
2126,663.3,46.0,6982.710975913485
2127,274.84,50.0,6331.992390344487
2128,135.58,56.0,5155.693408738989
2129,45.72,70.0,5656.246166868988
2130,0.0,76.25,5493.566520476738
2131,0.0,70.0,6344.506209297737
2132,0.0,60.0,10061.110438412978
2133,0.0,55.0,6932.655700100485
2134,0.0,50.4,4892.90321072074
2135,0.0,49.8,5618.704710009238
2136,0.0,47.0,3228.565289938493
2137,0.0,49.0,2815.6092644812443
2138,0.0,47.0,2527.7914285564943
2139,0.0,48.7,2815.6092644812443
2140,0.0,55.0,2502.763790649995
2141,0.0,61.1,2652.929618088994
2142,47.94,67.8,2565.3328854162446
2143,270.99,68.0,2440.1946958837448
2144,491.85,67.0,3428.7863931904926
2145,673.22,55.0,2903.205997153994
2146,818.16,50.1,3979.3944271334913
2147,905.61,50.1,3115.9409193592437
2148,933.8,44.55,3503.8693069099927
2149,881.45,42.6,4041.963521899741
2150,763.18,49.0,6044.174554419737
2151,588.43,52.0,5193.234865598739
2152,381.87,56.0,5243.290141411739
2153,163.9,69.8,3729.118048068492
2154,0.0,72.0,5155.693408738989
2155,0.0,67.6,5618.704710009238
2156,0.0,57.0,8108.954681705984
2157,0.0,55.4,7157.904441258985
2158,0.0,58.0,5956.577821746988
2159,0.0,47.8,4279.726082011491
2160,0.0,46.7,3090.9132814527434
2161,0.0,44.8,2740.526350761744
2162,0.0,40.2,2552.8190664629947
2163,0.0,43.0,2440.1946958837448
2164,0.0,50.0,2352.597963210995
